url,name,address,city,state,phone
https://www.fundyvets.com/locations/shubenacadie?utm_source=gmb&utm_medium=organic&y_source=1_MjgxODgzMzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Results,"21089 NS-2, Shubenacadie, NS B0N 2H0, Canada",NS B0N 2H0,Canada,+1 902-758-3180
https://www.easthantsdental.com/,Results,"344 NS-214, Elmsdale, NS B2S 2L7, Canada",NS B2S 2L7,Canada,+1 902-883-3278
https://www.elmsdaledental.com/,Results,"269 NS-214, Elmsdale, NS B2S 1K1, Canada",NS B2S 1K1,Canada,+1 902-883-7624
http://www.guardianrx.ca/,Results,"2815 NS-2, Shubenacadie, NS B0N 2H0, Canada",NS B0N 2H0,Canada,+1 902-758-2228
https://www.homehardware.ca/en/store/30819?utm_source=google&utm_medium=organic_search&utm_campaign=local_seo&utm_content=30819,Results,"2861 NS-2, Shubenacadie, NS B0N 2H0, Canada",NS B0N 2H0,Canada,+1 902-758-2047
http://basinviewdental.com/,Results,"843 Hwy 1, Deep Brook, NS B0S 1J0, Canada",NS B0S 1J0,Canada,+1 902-245-3535
http://porterslakedental.com/,Results,"5141 Nova Scotia Trunk 7, Porters Lake, NS B3E 1M1, Canada",NS B3E 1M1,Canada,+1 902-827-4746
https://www.dentalhubtruro.ca/d?utm_source=https://www.dentalhubtruro.ca/dentistry&utm_medium=organic&utm_campaign=gmb-listing,Results,"336 Pictou Rd, Bible Hill, NS B2N 6H3, Canada",NS B2N 6H3,Canada,+1 902-895-7797
http://www.hantscountydental.ca/?utm_source=&utm_medium=organic&utm_campaign=gmb-listing,Results,"2043 Nova Scotia Trunk 1, Falmouth, NS B0N 2T0, Canada",NS B0N 2T0,Canada,+1 902-798-0303
https://www.canadapost.ca/,Results,"2770 NS-2, Shubenacadie, NS B0N 0C2, Canada",NS B0N 0C2,Canada,+1 902-758-2933
https://porterslakefamilysmiles.com/,Results,"61 Stella Dr, Porters Lake, NS B3E 0G4, Canada",NS B3E 0G4,Canada,+1 902-827-5555
https://www.brooklyndental.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"7859 Hwy 14, Brooklyn, NS B0N 2A0, Canada",NS B0N 2A0,Canada,+1 902-904-0930
https://www.sackvilledental.ca/,Results,"453 Sackville Dr, Lower Sackville, NS B4C 2S1, Canada",NS B4C 2S1,Canada,+1 902-865-6336
https://www.scotiadental.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"Duke, 5251 Duke St Tower, #602, Halifax, NS B3J 1P3, Canada",NS B3J 1P3,Canada,+1 902-706-8235
http://www.rockinghamridgedental.com/,Results,,Shubenacadie,NS,+1 902-443-0451
https://cpsnsphysiciansearch.azurewebsites.net/PhysicianDetails.aspx?LicenceNumber=011541,Results,"2815 NS-2, Shubenacadie, NS B0N 2H0, Canada",NS B0N 2H0,Canada,+1 902-758-4929
https://www.herringcovedental.ca/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB,Results,"303 Herring Cove Rd, Halifax, NS B3P 1M3, Canada",NS B3P 1M3,Canada,+1 902-477-9457
http://transcendentalgroup.ca/,Results,"7772 Nova Scotia Trunk 7, Musquodoboit Harbour, NS B0J 2L0, Canada",NS B0J 2L0,Canada,+1 902-889-3592
https://www.halifaxdentaloffice.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"16 Dentith Rd Unit A11, Halifax, NS B3R 2H9, Canada",NS B3R 2H9,Canada,+1 902-706-4947
https://lakeviewfamilydental.ca/,Results,"3301 NS-2 unit 104, Fall River, NS B2T 1K6, Canada",NS B2T 1K6,Canada,+1 902-932-5253
https://www.lakesidedentalhalifax.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"84 Chain Lake Dr #101, Halifax, NS B3S 1B4, Canada",NS B3S 1B4,Canada,+1 902-705-5967
https://www.hubbardsdental.ca/,Results,"11 NS-329, Hubbards, NS B0J 1T0, Canada",NS B0J 1T0,Canada,+1 902-857-1755
https://thedentalgroup.ca/nova-scotia/,Results,"25 Treaty Trail, Millbrook, NS B6L 1W3, Canada",NS B6L 1W3,Canada,+1 902-920-0072
https://a1dc.ca/,Results,"25 Treaty Trail, Millbrook, NS B6L 1W3, Canada",NS B6L 1W3,Canada,+1 902-920-0072
https://www.victoriacourtdental.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB,Results,"510 Prince St, Truro, NS B2N 1G1, Canada",NS B2N 1G1,Canada,+1 902-893-9686
https://maps.rbcroyalbank.com/NS-SHUBENACADIE-branch-6053,Results,"2824 Main Street West, Shubenacadie, NS B0N 2H0, Canada",NS B0N 2H0,Canada,+1 902-758-2295
https://landmarkdentalcare.ca/,Results,"125 Queen St, Truro, NS B2N 2B4, Canada",NS B2N 2B4,Canada,+1 902-893-2919
https://www.alliancedentaltruro.ca/?utm_source=https://www.alliancedentaltruro.ca/services&utm_medium=organic&utm_campaign=gmb-listing,Results,"68 Robie St, Truro, NS B2N 1L2, Canada",NS B2N 1L2,Canada,+1 902-895-2345
http://bhfamilydentistry.ca/,Results,"241 Pictou Rd, Truro, NS B2N 2T3, Canada",NS B2N 2T3,Canada,+1 902-895-6300
http://mintsmile.ca/,Results,"1440 Main Rd, Eastern Passage, NS B3G 1A1, Canada",NS B3G 1A1,Canada,+1 902-456-6280
https://www.summitdentistry.net/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB,Results,"30 Damascus Rd Ste 105, Bedford, NS B4A 0C2, Canada",NS B4A 0C2,Canada,+1 902-832-4646
https://smbd.ca/,Results,"5110 St Margarets Bay Rd, Upper Tantallon, NS B3Z 1E2, Canada",NS B3Z 1E2,Canada,+1 902-826-2151
http://www.shadbaydental.com/index.php,Results,"3665 Prospect Rd, Shad Bay, NS B3T 2B4, Canada",NS B3T 2B4,Canada,+1 902-852-3022
https://riverhilldentalns.com/,Results,"64 Stellarton Rd, New Glasgow, NS B2H 1L8, Canada",NS B2H 1L8,Canada,+1 902-755-4455
http://chainlakedental.com/,Results,"201 Chain Lake Dr, Halifax, NS B3S 1C8, Canada",NS B3S 1C8,Canada,+1 902-450-2273
http://chdc.ca/,Results,"4 Forest Hills Pkwy, Dartmouth, NS B2W 5G7, Canada",NS B2W 5G7,Canada,+1 902-435-5290
http://fallriverdental.ca/,Results,"3187 NS-2, Fall River, NS B2T 1J5, Canada",NS B2T 1J5,Canada,+1 902-861-3471
https://www.ourdentist.ca/,Results,"5991 Spring Garden Rd #275, Halifax, NS B3H 1Y6, Canada",NS B3H 1Y6,Canada,+1 902-424-1888
https://ravinesdental.ca/,Results,"540 Southgate Dr, Bedford, NS B4A 0E1, Canada",NS B4A 0E1,Canada,+1 902-426-4646
http://www.novadental.ca/,Results,"447 Sackville Dr, Lower Sackville, NS B4C 2S1, Canada",NS B4C 2S1,Canada,+1 902-864-4658
https://www.highlanddentalcentre.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"689 Westville Rd, New Glasgow, NS B2H 2J6, Canada",NS B2H 2J6,Canada,+1 902-600-6190
http://www.hillsidefamilydental.ca/,Results,"650 Portland St, Dartmouth, NS B2W 6A3, Canada",NS B2W 6A3,Canada,+1 902-434-4701
https://www.sackvillesmilecentre.ca/?utm_source=google&utm_medium=local&utm_campaign=gbp,Results,"190 Cobequid Rd, Lower Sackville, NS B4C 2N4, Canada",NS B4C 2N4,Canada,+1 902-865-8121
http://www.micmacdentalcentre.ca/,Results,"Mic Mac Mall, 21 Micmac Blvd 3rd Level, Dartmouth, NS B3A 4K6, Canada",NS B3A 4K6,Canada,+1 902-463-0880
https://www.santedentalhalifax.ca/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,Results,"1535 Dresden Row, Halifax, NS B3J 3T1, Canada",NS B3J 3T1,Canada,+1 902-423-3234
http://www.communitydental.ca/,Results,"752 Sackville Dr, Lower Sackville, NS B4E 1R7, Canada",NS B4E 1R7,Canada,+1 902-865-7260
http://www.timberleadental.ca/,Results,"1817 St Margarets Bay Rd, Timberlea, NS B3T 1B8, Canada",NS B3T 1B8,Canada,+1 902-876-1210
https://www.ourdentist.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Results,"7037 Mumford Rd #101, Halifax, NS B3L 2J1, Canada",NS B3L 2J1,Canada,+1 902-406-1888
https://sheetharbourdental.com/,Results,"22709 Nova Scotia Trunk 7, Sheet Harbour, NS B0J 3B0, Canada",NS B0J 3B0,Canada,+1 902-885-2535
https://dmsdentistry.com/,Results,"1528 Robie St, Halifax, NS B3H 3E4, Canada",NS B3H 3E4,Canada,+1 902-425-6263
http://www.fundydental.com/,Results,"7322 Nova Scotia Trunk 1, Coldbrook, NS B4R 1B9, Canada",NS B4R 1B9,Canada,+1 902-681-9111
https://millerdentalhealthcentre.com/,Results,"114 Woodlawn Rd, Dartmouth, NS B2W 1L3, Canada",NS B2W 1L3,Canada,+1 902-434-3117
https://www.acadiansmiles.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"8174 Hwy 1, Meteghan, NS B0W 2J0, Canada",NS B0W 2J0,Canada,+1 902-422-0015
http://www.basinviewsmiles.ca/,Results,"200 Waterfront Dr, Bedford, NS B4A 4J4, Canada",NS B4A 4J4,Canada,+1 902-832-4490
https://www.larryuteckdentistry.ca/,Results,"1201 Larry Uteck Blvd Ste 104, Bedford, NS B4B 0S9, Canada",NS B4B 0S9,Canada,+1 902-444-7100
http://www.eastcoastsmile.com/,Results,"332 Willow St, Truro, NS B2N 5A5, Canada",NS B2N 5A5,Canada,(877) 312-3229
